Year,Comm_Harvest,Rec_Harvest
1986,3700483,2424842
1987,3068611,1646791
1988,3959861,1898560
1989,3098360,1814240
1990,2650608,1059916
1991,2213183,1503156
1992,3106495,2613403
1993,3373889,4135954
1994,3222350,3734332
1995,2934105,2888238
1996,4313059,2618780
1997,4809952,4490559
1998,4679656,4259464
1999,4875947,4482945
2000,4837113,2993980
2001,4625269,3737264
2002,4782910,4369697
2003,4410666,3921340
2004,4652963,4667841
2005,4103693,3449469
2006,4654414,3240146
2007,3086197,4082258
2008,2420569,2814824
2009,2521157,3631901
2010,3392205,1667363
2011,3540948,3482776
2012,4141500,4446083
2013,5618955,9058862
2014,5567834,2873120
2015,6472261,3888640
