FootNote,FMP,Common Name,Species Name,Author,Title,Journal,Volume,Number,Pages,Year,URL,Booktitle,Chapter
1,Red Drum,Red Drum,Sciaenops ocellatus,GMFMC.,"Amendment Number 1, Environmental Assessment, Supplemental Regulatory Impact Review, Initial Regulatory Flexibility Analysis, the Secretarial Fishery Management Plan for the Red Drum Fishery of the Gulf of Mexico",.,.,.,32 pp,1987,http://gulfcouncil.org/Beta/GMFMCWeb/downloads/REDDRUM%20Amend-01%20Final%201987-05.pdf,.,.
2,Red Drum,Red Drum,Sciaenops ocellatus,GMFMC.,"Amendment Number 2, Environmental Assessment, Supplemental Regulatory Impact Review, Initial Regulatory Flexibility Analysis, the Secretarial Fishery Management Plan for the Red Drum Fishery of the Gulf of Mexico",.,.,.,43 pp,1988,http://gulfcouncil.org/Beta/GMFMCWeb/downloads/REDDRUM%20Amend-02%20Final%201988-03.pdf,.,.
3,Red Drum,Red Drum,Sciaenops ocellatus,"Bass, R. J. and J. W. Avault, Jr.","Food habits, length-weight relationship, condition factor, and growth of juvenile red drum, Sciaenops ocellata, in Louisiana",Transactions of the American Fisheries Society,104,1,35--45,1975,.,.,.
4,Red Drum,Red Drum,Sciaenops ocellatus,"Boothby, R. N. and J. W. Avault, Jr.","Food habits, length-weight relationship, and condition factor of the red drum (Sciaenops ocellata) in southeastern Louisiana",Transactions of the American Fisheries Society,100,2,290--295,1971,.,.,.
5,Red Drum,Red Drum,Sciaenops ocellatus,"Buckley, J.",Habitat suitability index models: larval and juvenile red drum,U. S. FIsh and Wildlife Service. FWS/OBS-82/10.74.,.,.,15 pp,1984,.,.,.
6,Red Drum,Red Drum,Sciaenops ocellatus,"Goodyear, C. P.",Status of the Red Drum stocks of the Gulf of Mexico: Report for 1989,Southeast Fisheries Science Center CRD 88/89-14,.,.,.,1989,.,.,.
7,Red Drum,Red Drum,Sciaenops ocellatus,"Holt, J., R. C. Godbout, and C. R.  Arnold.","Effects of temperature and salinity on egg hatching and larval survival of red drum, Sciaenops ocellata",.,.,.,.,1981,.,.,.
8,Red Drum,Red Drum,Sciaenops ocellatus,"Holt, G. J. and C. R.  Arnold.",Effects of ammonia and nitrite on growth and survival of red drum eggs and larvae,Transactions of the American Fisheries Society,112,2B,314--318,1983,.,.,.
9,Red Drum,Red Drum,Sciaenops ocellatus,"Holt, S. A., C. L. Kitting, and C. R.  Arnold.",Distribution of young red drums among different sea-grass meadows,Transactions of the American Fisheries Society,112,2B,267--271,1983,.,.,.
10,Red Drum,Red Drum,Sciaenops ocellatus,"Lee, W. Y., G. J. Holt, and C. R. Arnold.",Growth of red drum larvae in the laboratory,Transactions of the American Fisheries Society,113,2,243--246,1984,.,.,.
