,species,lifestage,URL,WMS,Layer_ID,SAME_AS,LOCAL_PATH,COLORS
1,ALMACO,eggs,.,,,UNMAPPABLE,.,#F781BF
2,ALMACO,larvae,.,,,UNMAPPABLE,.,#E41A1C
3,ALMACO,postLarvae,.,,,UNMAPPABLE,.,#4DAF4A
4,ALMACO,spawningAdult,.,,,UNMAPPABLE,.,#a65628
5,ALMACOJACK,adult,https://api.mapbox.com/styles/v1/ceroberts/ciya8ra9q002g2sqjdmcijzxr/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2Vyb2JlcnRzIiwiYSI6ImNpeTM1Y2dsazAwM24ycXBneTN2YTAzN2gifQ.2M7HwRpElO_DHWaeqTXc8g,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Almaco Jack\adultsDis,#ffff33
6,ALMACOJACK,earlyJuvenile,https://api.mapbox.com/styles/v1/auburngrad2015/ciyfz9p9o000x2sl8mptahh45/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,,,GREATERAMBERJACK/ALMACOJACK,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Almaco Jack\earlyJuveniles,#984EA3
7,BANDEDRUDDERFISH,eggs,.,,,UNMAPPABLE,.,#F781BF
8,BANDEDRUDDERFISH,larvae,https://api.mapbox.com/styles/v1/auburngrad2015/ciyg583fy001q2sl8bnvphfq3/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,,,YELLOWTAILSNAPPER/BANDEDRUDDERFISH,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Banded Rudderfish\larvae,#E41A1C
9,BANDEDRUDDERFISH,postLarvae,https://api.mapbox.com/styles/v1/auburngrad2015/ciyg5vkxp001q2slujvqmbla8/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,,,YELLOWTAILSNAPPER/BANDEDRUDDERFISH,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Banded Rudderfish\postLarvae,#4DAF4A
10,BLACKFINSNAPPER,adult,https://api.mapbox.com/styles/v1/claireroberts/cixvv3xeh00062sp6cf169n4u/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Blackfin Snapper\adultsDis,#ffff33
11,BLACKFINSNAPPER,earlyJuvenile,https://api.mapbox.com/styles/v1/claireroberts/cixvv584j00092rr0n2pltckb/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Blackfin Snapper\earlyJuvenilesDis,#984EA3
12,BLACKFINSNAPPER,lateJuvenile,https://api.mapbox.com/styles/v1/claireroberts/cixvv6944000a2rr02ll92mog/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Blackfin Snapper\lateJuvenilesDis,#FF7F00
13,BLACKFINSNAPPER,spawningAdult,https://api.mapbox.com/styles/v1/claireroberts/cixvv25ld00052sp6zmwzzije/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,,,BLACKFINSNAPPER/REDGROUPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Blackfin Snapper\spawningAdultsDis,#a65628
14,BLACKFINSNAPPER,larvae,.,,,UNMAPPABLE,.,#E41A1C
15,BLACKFINSNAPPER,postLarvae,.,,,UNMAPPABLE,.,#4DAF4A
16,BLACKFINSNAPPER,eggs,https://api.mapbox.com/styles/v1/auburngrad2015/ciyek5tfq00172so4fjucp7e8/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,,,BLACKFINSNAPPER/GRAYSNAPPER/SPECKLEDHIND/REDGROUPER/GAG/SCAMP/BLUELINETILEFISH/BLACKGROUPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Blackfin Snapper\eggs,#F781BF
17,BLACKGROUPER,adult,https://api.mapbox.com/styles/v1/claireroberts/cixuhtoo1002t2rnrcn7gtc2t/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,,,BLACKGROUPER/HOGFISH/REDGROUPER/SCAMP/YELLOWTAILSNAPPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Black Grouper\adultsDis,#ffff33
18,BLACKGROUPER,earlyJuvenile,https://api.mapbox.com/styles/v1/claireroberts/cixvtd3g400062rr05pz3dn9x/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,,,HOGFISH/BLACKGROUPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Black Grouper\earlyJuvenilesDis,#984EA3
19,BLACKGROUPER,lateJuvenile,https://api.mapbox.com/styles/v1/claireroberts/cixuq2tpu00322rlar9seu31d/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Black Grouper\lateJuvenilesDis,#FF7F00
20,BLACKGROUPER,spawningAdult,https://api.mapbox.com/styles/v1/claireroberts/cixvtl4lu00062rmh4zwjqoe6/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,,,BLACKGROUPER/SCAMP,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Black Grouper\spawningAdultsDis,#a65628
21,BLACKGROUPER,eggs,https://api.mapbox.com/styles/v1/auburngrad2015/ciyek5tfq00172so4fjucp7e8/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,,,BLACKFINSNAPPER/GRAYSNAPPER/SPECKLEDHIND/REDGROUPER/GAG/SCAMP/BLUELINETILEFISH/BLACKGROUPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Black Grouper\eggs,#F781BF
22,BLACKGROUPER,larvae,https://api.mapbox.com/styles/v1/auburngrad2015/ciyfysi9m000p2ro4ny4r8avp/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,,,GRAYSNAPPER/SPECKLEDHIND/REDGROUPER/GAG/SCAMP/BLUELINETILEFISH/BLACKGROUPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Black Grouper\larvae,#E41A1C
23,BLACKGROUPER,postLarvae,https://api.mapbox.com/styles/v1/auburngrad2015/ciyg4rco3001t2smf18mbt7cb/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,,,SPECKLEDHIND/GAG/SCAMP/BLUELINETILEFISH/BLACKGROUPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Black Grouper\postLarvae,#4DAF4A
24,BLUELINETILEFISH,larvae,https://api.mapbox.com/styles/v1/auburngrad2015/ciyfysi9m000p2ro4ny4r8avp/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,,,GRAYSNAPPER/SPECKLEDHIND/REDGROUPER/GAG/SCAMP/BLUELINETILEFISH/BLACKGROUPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Blueline Tilefish\larvae,#E41A1C
