species,lifestage,URL,SAME_AS,LOCAL_PATH,hex,rgb,Layer.ID,WMS,wmsURL
ALMACOJACK,eggs,.,UNMAPPABLE,.,#F781BF,"rgb(247,129,191)",.,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/.
ALMACOJACK,larvae,.,UNMAPPABLE,.,#E41A1C,"rgb(228,26,28)",.,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/.
ALMACOJACK,postLarvae,.,UNMAPPABLE,.,#4DAF4A,"rgb(77,175,74)",.,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/.
ALMACOJACK,spawningAdult,.,UNMAPPABLE,.,#a65628,"rgb(166,86,40)",.,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/.
ALMACOJACK,adult,https://api.mapbox.com/styles/v1/ceroberts/ciya8ra9q002g2sqjdmcijzxr/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2Vyb2JlcnRzIiwiYSI6ImNpeTM1Y2dsazAwM24ycXBneTN2YTAzN2gifQ.2M7HwRpElO_DHWaeqTXc8g,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Almaco Jack\adultsDis,#ffff33,"rgb(255,255,51)",24,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/24
ALMACOJACK,earlyJuvenile,https://api.mapbox.com/styles/v1/auburngrad2015/ciyfz9p9o000x2sl8mptahh45/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,GREATERAMBERJACK/ALMACOJACK,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Almaco Jack\earlyJuveniles,#984EA3,"rgb(152,78,163)",9,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/9
ALMACOJACK,lateJuvenile,https://api.mapbox.com/styles/v1/gulffish123/ciz5jj1o9006h2srz1me95fn6/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiZ3VsZmZpc2gxMjMiLCJhIjoiY2l5a2IweTVtMDAwdDJxcGYzYmR0b3lndyJ9.PjwB4UC9ESaDhoe3ed_YKg,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Almaco Jack\lateJuveniles,#FF7F00,"rgb(255,127,0)",,,
BANDEDRUDDERFISH,eggs,.,UNMAPPABLE,.,#F781BF,"rgb(247,129,191)",.,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/.
BANDEDRUDDERFISH,larvae,https://api.mapbox.com/styles/v1/auburngrad2015/ciyg583fy001q2sl8bnvphfq3/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,YELLOWTAILSNAPPER/BANDEDRUDDERFISH,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Banded Rudderfish\larvae,#E41A1C,"rgb(228,26,28)",149,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/149
BANDEDRUDDERFISH,postLarvae,https://api.mapbox.com/styles/v1/auburngrad2015/ciyg5vkxp001q2slujvqmbla8/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,YELLOWTAILSNAPPER/BANDEDRUDDERFISH,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Banded Rudderfish\postLarvae,#4DAF4A,"rgb(77,175,74)",150,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/150
BLACKFINSNAPPER,adult,https://api.mapbox.com/styles/v1/claireroberts/cixvv3xeh00062sp6cf169n4u/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Blackfin Snapper\adultsDis,#ffff33,"rgb(255,255,51)",25,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/25
BLACKFINSNAPPER,earlyJuvenile,https://api.mapbox.com/styles/v1/claireroberts/cixvv584j00092rr0n2pltckb/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Blackfin Snapper\earlyJuvenilesDis,#984EA3,"rgb(152,78,163)",26,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/26
BLACKFINSNAPPER,lateJuvenile,https://api.mapbox.com/styles/v1/claireroberts/cixvv6944000a2rr02ll92mog/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Blackfin Snapper\lateJuvenilesDis,#FF7F00,"rgb(255,127,0)",27,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/27
BLACKFINSNAPPER,spawningAdult,https://api.mapbox.com/styles/v1/claireroberts/cixvv25ld00052sp6zmwzzije/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,BLACKFINSNAPPER/REDGROUPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Blackfin Snapper\spawningAdultsDis,#a65628,"rgb(166,86,40)",1,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/1
BLACKFINSNAPPER,larvae,.,UNMAPPABLE,.,#E41A1C,"rgb(228,26,28)",.,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/.
BLACKFINSNAPPER,postLarvae,.,UNMAPPABLE,.,#4DAF4A,"rgb(77,175,74)",.,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/.
BLACKFINSNAPPER,eggs,https://api.mapbox.com/styles/v1/auburngrad2015/ciyek5tfq00172so4fjucp7e8/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,BLACKFINSNAPPER/GRAYSNAPPER/SPECKLEDHIND/REDGROUPER/GAG/SCAMP/BLUELINETILEFISH/BLACKGROUPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Blackfin Snapper\eggs,#F781BF,"rgb(247,129,191)",0,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/0
BLACKGROUPER,adult,https://api.mapbox.com/styles/v1/claireroberts/cixuhtoo1002t2rnrcn7gtc2t/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,BLACKGROUPER/HOGFISH/REDGROUPER/SCAMP/YELLOWTAILSNAPPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Black Grouper\adultsDis,#ffff33,"rgb(255,255,51)",3,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/3
BLACKGROUPER,earlyJuvenile,https://api.mapbox.com/styles/v1/claireroberts/cixvtd3g400062rr05pz3dn9x/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,HOGFISH/BLACKGROUPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Black Grouper\earlyJuvenilesDis,#984EA3,"rgb(152,78,163)",10,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/10
BLACKGROUPER,lateJuvenile,https://api.mapbox.com/styles/v1/claireroberts/cixuq2tpu00322rlar9seu31d/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Black Grouper\lateJuvenilesDis,#FF7F00,"rgb(255,127,0)",28,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/28
BLACKGROUPER,spawningAdult,https://api.mapbox.com/styles/v1/claireroberts/cixvtl4lu00062rmh4zwjqoe6/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,BLACKGROUPER/SCAMP,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Black Grouper\spawningAdultsDis,#a65628,"rgb(166,86,40)",4,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/4
BLACKGROUPER,eggs,https://api.mapbox.com/styles/v1/auburngrad2015/ciyek5tfq00172so4fjucp7e8/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,BLACKFINSNAPPER/GRAYSNAPPER/SPECKLEDHIND/REDGROUPER/GAG/SCAMP/BLUELINETILEFISH/BLACKGROUPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Black Grouper\eggs,#F781BF,"rgb(247,129,191)",0,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/0
BLACKGROUPER,larvae,https://api.mapbox.com/styles/v1/auburngrad2015/ciyfysi9m000p2ro4ny4r8avp/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,GRAYSNAPPER/SPECKLEDHIND/REDGROUPER/GAG/SCAMP/BLUELINETILEFISH/BLACKGROUPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Black Grouper\larvae,#E41A1C,"rgb(228,26,28)",8,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/8
