,FootNote,FMP,Common.Name,Species.Name,Author,Title,Journal,Volume,Number,Pages,Year,URL,Editors,Publisher
1,1,Reef Fish,Almaco Jack,Seriola rivoliana,"Aprieto, V. L. ",Early development of five carangid fishes of the Gulf of Mexico and the South Atlantic coast of the United States,Fishery Bulletin,72,.,415--443,1974,.,.,.
2,2,Reef Fish,Almaco Jack,Seriola rivoliana,"Beasley, M. L. ","Age and growth of greater amberjack, Seriola dumerili (Risso), from the northern Gulf of Mexico","M.S. thesis. Louisiana State University, Baton Rouge, L.A.",.,.,.,1993,.,.,.
3,3,Reef Fish,Almaco Jack,Seriola rivoliana,"Berry, F.H. and R.K. Burch",Aspects of amberjack fisheries,Proceedings of the 31st Gulf and Caribbean Fisheries Insitute,31,,179--194,1979,http://aquaticcommons.org/12307/1/gcfi_31-23.pdf,.,.
4,4,Reef Fish,Almaco Jack,Seriola rivoliana,"Berry, F.H. and W.F. Smith-Vaniz",FAO species identification sheets: Carangidae,"In: FAO species identification sheets for fishery purposes; western central Atlantic, fishing area 31",.,.,.,1978,.,W. Fischer (ed.),"FAO of the United Nations, Rome"
5,5,Reef Fish,Almaco Jack,Seriola rivoliana,"Burch, R. K. ","The greater amberjack, Seriola dumerili: Its biology and fishery off southeastern Florida","M.S. thesis. University of Miami, Miami, FL",.,.,113 pp,1979,.,.,.
6,6,Reef Fish,Almaco Jack,Seriola rivoliana,"Ginsburg, I. ",Fishes of the family Carangidae of the northern Gulf of Mexico and three related species,"Publications of the Institute of Marine Science, University of Texas",2,2,43--117,1952,http://repositories.tdl.org/tamug-ir/handle/1969.3/19201,.,.
7,7,Reef Fish,Almaco Jack,Seriola rivoliana,"Johnson, G. D. ","Development of fishes of the Mid-Atlantic Bight, an atlas of egg, larval and juvenile stages. Carangidae through Ephippidae",Vol. IV. U.S. Fish and Wildlife Service Biological Service Program. FWS/OBS-78/12,.,.,.,1978,.,.,.
8,8,Reef Fish,Almaco Jack,Seriola rivoliana,"Laroche, W. A., W. F. Smith-Vaniz, and S. L. Richardson ",Carangidae: development,In: Ontogeny and Systematics of Fishes,.,.,510-522,1984,.,"H.G. Moser, W.J. Richards, D.M. Cohen, M.P. Fahay, A.W. Kendall, and S.L. Richardson (eds.)","Special Publication No. 1, American Society of Ichthyologists and Herpetologists. Allen Press, Lawrence, K.S."
9,9,Reef Fish,Almaco Jack,Seriola rivoliana,"Mather, F. J. ","Three species of fishes, genus Seriola, in the waters of Cape Cod and vicinity",Copeia,1952,,209-210,1952,.,.,.
10,10,Reef Fish,Almaco Jack,Seriola rivoliana,"Mather, F. J. ","A preliminary review of the the amberjacks, genus Seriola, of the Western Atlantic",Proceedings of the Third International Game & Fish Conference,3,,1--13,1958,http://darchive.mblwhoilibrary.org/handle/1912/8416,.,.
